Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
238768670,Birds Up Close: An Engineer Explores Their Hidden Wonders,Lorna Gibson,"Gibson, Lorna",,"=""0262384256""","=""9780262384254""",0,The MIT Press,Kindle Edition,,2026,,,2026/05/06,to-read,to-read (#120),to-read,,,,0,0
213540411,The Mountain in the Sea,Ray Nayler,"Nayler, Ray",,"=""""","=""""",0,MCD,Kindle Edition,420,2024,2022,,2026/04/17,to-read,to-read (#119),to-read,,,,0,0
241471051,A World Appears: A Journey into Consciousness,Michael Pollan,"Pollan, Michael",,"=""198488199X""","=""9781984881991""",0,Penguin Press,Hardcover,320,2026,2026,,2026/04/15,to-read,to-read (#118),to-read,,,,0,0
32957,Caramelo,Sandra Cisneros,"Cisneros, Sandra",,"=""0679742581""","=""9780679742586""",0,Vintage,Paperback,441,2003,2002,,2026/03/04,to-read,to-read (#117),to-read,,,,0,0
223001257,The Correspondent,Virginia      Evans,"Evans, Virginia",,"=""0593798430""","=""9780593798430""",0,Crown Publishing,Hardcover,285,2025,2025,,2026/01/13,,,read,,,,1,0
60916166,"Unraveling: What I Learned About Life While Shearing Sheep, Dyeing Wool, and Making the World's Ugliest Sweater",Peggy Orenstein,"Orenstein, Peggy",,"=""0063081725""","=""9780063081727""",0,Harper,Hardcover,224,2023,2023,,2025/11/02,to-read,to-read (#116),to-read,,,,0,0
198276006,I Cheerfully Refuse,Leif Enger,"Enger, Leif",,"=""0802162932""","=""9780802162939""",0,Grove Press,Hardcover,336,2024,2024,,2025/11/02,to-read,to-read (#115),to-read,,,,0,0
18894140,Cape Horn to Starboard,John Kretschmer,"Kretschmer, John",,"=""""","=""""",0,Burford Books,Kindle Edition,161,2012,1986,,2024/04/22,,,read,,,,1,0
42343,Blind Man's Bluff: The Untold Story of American Submarine Espionage,Sherry Sontag,"Sontag, Sherry","Christopher Drew, Annette Lawrence Drew","=""006097771X""","=""9780060977719""",0,William Morrow Paperbacks,Paperback,432,2000,1998,,2023/11/24,,,read,,,,1,0
42392201,The Night Raven (Crow Investigations #1),Sarah Painter,"Painter, Sarah",,"=""""","=""""",0,Siskin Press Limited,Kindle Edition,246,2018,2018,,2024/01/12,,,read,,,,1,0
11100477,"Following Atticus: Forty-Eight High Peaks, One Little Dog, and an Extraordinary Friendship",Tom      Ryan,"Ryan, Tom",,"=""0061997102""","=""9780061997105""",0,William Morrow,Hardcover,276,2011,,,2024/04/07,,,read,,,,1,0
173754979,James,Percival Everett,"Everett, Percival",,"=""0385550367""","=""9780385550369""",0,Knopf Doubleday,Hardcover,303,2024,2024,,2024/07/27,,,read,,,,1,0
42203363,The Lager Queen of Minnesota,J. Ryan Stradal,"Stradal, J. Ryan",,"=""0399563059""","=""9780399563058""",0,Pamela Dorman Books,Hardcover,349,2019,2019,,2024/08/09,to-read,to-read (#114),to-read,,,,0,0
61884832,All the Sinners Bleed,S.A. Cosby,"Cosby, S.A.",,"=""1250831911""","=""9781250831910""",0,Flatiron Books,Hardcover,338,2023,2023,,2023/07/20,,,read,,,,1,0
50083554,"Follow the Angels, Follow the Doves (Bass Reeves Trilogy #1)",Sidney Thompson,"Thompson, Sidney",,"=""1496218752""","=""9781496218759""",0,Bison Books,Paperback,240,2020,2020,,2023/11/05,,,read,,,,1,0
65678550,The Heaven & Earth Grocery Store,James   McBride,"McBride, James",,"=""0593422945""","=""9780593422946""",0,Riverhead Books,Hardcover,400,2023,2023,,2023/12/05,,,read,,,,1,0
26722820,The Curious Charms of Arthur Pepper,Phaedra Patrick,"Patrick, Phaedra",,"=""0778319334""","=""9780778319337""",0,MIRA,Hardcover,331,2016,2016,,2024/01/12,,,read,,,,1,0
62328661,Rough Sleepers,Tracy Kidder,"Kidder, Tracy",,"=""1984801430""","=""9781984801432""",0,Random House,Kindle Edition,320,2023,2023,,2024/03/30,,,read,,,,1,0
62687857,The Covenant of Water,Abraham   Verghese,"Verghese, Abraham",,"=""""","=""""",0,Grove Press,Hardcover,724,2023,2023,,2023/05/27,,,read,,,,1,0
90590134,"The Coming Wave: Technology, Power, and the Twenty-first Century's Greatest Dilemma",Mustafa Suleyman,"Suleyman, Mustafa",Michael Bhaskar,"=""0593593952""","=""9780593593950""",0,Crown,Hardcover,332,2023,2023,,2023/10/20,,,read,,,,1,0
44436221,Interior Chinatown,Charles Yu,"Yu, Charles",,"=""""","=""""",0,Pantheon,Hardcover,288,2020,2020,,2024/01/12,,,read,,,,1,0
61151259,"Reading the Glass: A Captain's View of Weather, Water, and Life on Ships",Elliot Rappaport,"Rappaport, Elliot",,"=""0593185056""","=""9780593185056""",0,Dutton,Hardcover,336,2023,,,2024/04/22,to-read,to-read (#113),to-read,,,,0,0
