Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Full House: The Spread of Excellence from Plato to Darwin,Stephen Jay Gould,,9780609801406,paperback,to-read,2018/10/20,,,0,,,,,,,,,,,,,No
Bodies of Light,Sarah Moss,,9781847089168,hardcover,to-read,2019/11/27,,,0,,,,,,,,,,,,,No
Tono-Bungay,H.G. Wells,"Patrick Parrinder, Edward Mendelson",,,to-read,2020/07/15,,,0,,,,,,,,,,,,,No
Flatlands,Sue Hubbard,,9781911590842,paperback,to-read,2023/09/16,,,0,,,,,,,,,,,,,No
Notorious RBG: The Life and Times of Ruth Bader Ginsburg,"Irin Carmon, Shana Knizhnik",,9780062415837,hardcover,to-read,2016/10/06,,,0,,,,,,,,,,,,,No
Garden Open Tomorrow,Beverley Nichols,,9780881925524,hardcover,to-read,2021/10/17,,,0,,,,,,,,,,,,,No
The Skull Mantra,Eliot Pattison,,9780312978341,paperback,to-read,2016/04/04,,,0,,,,,,,,,,,,,No
A Nail Through the Heart,Timothy Hallinan,,9780061255809,hardcover,to-read,2016/04/04,,,0,,,,,,,,,,,,,No
Killshot,Elmore Leonard,,9780060512248,paperback,to-read,2023/03/01,,,0,,,,,,,,,,,,,No
Autopilot: The Art & Science of Doing Nothing,Andrew Smart,,9781939293107,paperback,to-read,2020/07/22,,,0,,,,,,,,,,,,,No
Destination Saigon,Walter Mason,,,,to-read,2020/01/28,,,0,,,,,,,,,,,,,No
In Praise of Walking: The new science of how we walk and why it's good for us,Shane O'Mara,,9781847925015,hardcover,to-read,2019/07/28,,,0,,,,,,,,,,,,,No
The Overstory,Richard Powers,,9780393356687,paperback,to-read,2021/06/18,,,0,,,,,,,,,,,,,No
The Gift of a Home,Beverley Nichols,,9780396068556,hardcover,to-read,2021/10/17,,,0,,,,,,,,,,,,,No
Five-Carat Soul,James McBride,,9780735216693,hardcover,to-read,2021/04/10,,,0,,,,,,,,,,,,,No
American Hippo,Sarah Gailey,,9781250176424,digital,to-read,2023/11/11,,,0,,,,,,,,,,,,,No
Fuzz: When Nature Breaks the Law,Mary Roach,,9781324001935,hardcover,to-read,2022/04/21,,,0,,,,,,,,,,,,,No
The Death of Expertise: The Campaign Against Established Knowledge and Why It Matters,Tom Nichols,,9780190469412,hardcover,to-read,2020/09/23,,,0,,,,,,,,,,,,,No
Ink and Bone,Rachel Caine,,9780698180819,digital,to-read,2024/01/12,,,0,,,,,,,,,,,,,No
Prussian Blue,Philip Kerr,,9780399177057,hardcover,to-read,2017/03/30,,,0,,,,,,,,,,,,,No
Sunsets and Olives: How NOT to retire early in Southern Spain!,"John Austin Richards, John Austin Richards",,,,to-read,2021/06/19,,,0,,,,,,,,,,,,,No
