Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Pearl King,Sarah Painter,Kate Rawson (Narrator),9781004022823,audio,read,2025/07/29,"","",1,"",,,,,,,,,"",,"",No
All the Sinners Bleed,S.A. Cosby,"",9781250831910,hardcover,read,2023/07/20,"","",1,"",,,,,,,,,"",,"",No
Full House: The Spread of Excellence from Plato to Darwin,Stephen Jay Gould,"",9780609801406,paperback,to-read,2018/10/20,"","",0,"",,,,,,,,,"",,"",No
Family Trust,Kathy Wang,"",9780062855251,hardcover,read,2020/01/13,"","",1,"",,,,,,,2.0,,"",,"",No
The Orphan Master's Son,Adam Johnson,"",9780812992793,hardcover,read,2020/05/06,"","",1,"",,,,,,,,,"",,"",No
Bodies of Light,Sarah Moss,"",9781847089168,hardcover,to-read,2019/11/27,"","",0,"",,,,,,,,,"",,"",No
Tono-Bungay,H.G. Wells,"Patrick Parrinder, Edward Mendelson","",,to-read,2020/07/15,"","",0,"",,,,,,,,,"",,"",No
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"",9780307279460,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
Packing for Mars,Mary Roach,"",9780393339918,paperback,read,2018/12/22,"","",1,"",,,,,,,,,"",,"",No
Flatlands,Sue Hubbard,"",9781911590842,paperback,to-read,2023/09/16,"","",0,"",,,,,,,,,"",,"",No
Secret Water,Arthur Ransome,"",9781567920642,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
Notorious RBG: The Life and Times of Ruth Bader Ginsburg,"Irin Carmon, Shana Knizhnik","",9780062415837,hardcover,to-read,2016/10/06,"","",0,"",,,,,,,,,"",,"",No
Owls of the Eastern Ice: A Quest to Find and Save the World's Largest Owl,Jonathan C. Slaght,"",9780374228484,hardcover,read,2021/04/12,"","",1,"",,,,,,,,,"",,"",No
Macbeth,"David Hewson, A.J. Hartley","",9781612183015,paperback,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
The Farfarers: A New History of North America,Farley Mowat,"",9781616082376,paperback,read,2020/01/13,"","",1,"",,,,,,,2.0,,"",,"",No
We Didn't Mean to Go to Sea,Arthur Ransome,"",9780879239916,paperback,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
The Axe Factor,Colin Cotterill,"",9781250043368,hardcover,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
In a Sunburned Country,Bill Bryson,"",9780767903868,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
The Far Side of the World,Patrick O'Brian,"",9780393308624,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
The Shepherd's Life: A People's History of the Lake District,James Rebanks,"",9780385682848,hardcover,read,2018/10/17,"","",1,"",,,,,,,,,"",,"",No
The Circle,Dave Eggers,"",9780241146484,hardcover,read,2016/02/29,"","",1,"",,,,,,,3.0,,"",,"",No
Garden Open Tomorrow,Beverley Nichols,"",9780881925524,hardcover,to-read,2021/10/17,"","",0,"",,,,,,,,,"",,"",No
Blood of Tyrants,Naomi Novik,"",9780345522894,hardcover,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
Such a Fun Age,Kiley Reid,"",9780525541905,hardcover,read,2021/06/19,"","",1,"",,,,,,,,,"",,"",No
The Skull Mantra,Eliot Pattison,"",9780312978341,paperback,to-read,2016/04/04,"","",0,"",,,,,,,,,"",,"",No
A Nail Through the Heart,Timothy Hallinan,"",9780061255809,hardcover,to-read,2016/04/04,"","",0,"",,,,,,,,,"",,"",No
Killshot,Elmore Leonard,"",9780060512248,paperback,to-read,2023/03/01,"","",0,"",,,,,,,,,"",,"",No
I Capture the Castle,Dodie Smith,"",9780312181109,hardcover,read,2019/08/24,"","",1,"",,,,,,,,,"",,"",No
A Sea of Words: A Lexicon and Companion to the Complete Seafaring Tales of Patrick O'Brian,"J. Worth Estes, John B. Hattendorf, Dean King","",9780805066159,paperback,read,2016/04/04,"","",1,"",,,,,,,3.0,,"",,"",No
Autopilot: The Art & Science of Doing Nothing,Andrew Smart,"",9781939293107,paperback,to-read,2020/07/22,"","",0,"",,,,,,,,,"",,"",No
Sailing Alone Around the World,Joshua Slocum,"",9780140437362,paperback,read,2018/12/22,"","",1,"",,,,,,,4.0,,"",,"",No
Other People,Martin Amis,"",9780679735892,paperback,read,2019/08/24,"","",1,"",,,,,,,,,"",,"",No
Destination Saigon,Walter Mason,"",,,to-read,2020/01/28,"","",0,"",,,,,,,,,"",,"",No
Shrines of Gaiety,Kate Atkinson,"",9780385547970,hardcover,read,2022/10/09,"","",1,"",,,,,,,,,"",,"",No
In Praise of Walking: The new science of how we walk and why it's good for us,Shane O'Mara,"",9781847925015,hardcover,to-read,2019/07/28,"","",0,"",,,,,,,,,"",,"",No
The Overstory,Richard Powers,"",9780393356687,paperback,to-read,2021/06/18,"","",0,"",,,,,,,,,"",,"",No
The Gift of a Home,Beverley Nichols,"",9780396068556,hardcover,to-read,2021/10/17,"","",0,"",,,,,,,,,"",,"",No
Five-Carat Soul,James McBride,"",9780735216693,hardcover,to-read,2021/04/10,"","",0,"",,,,,,,,,"",,"",No
Babel,R.F. Kuang,Hi-en Montijn (Translator),9780063021426,hardcover,read,2022/09/07,"","",1,"",,,,,,,,,"",,"",No
American Hippo,Sarah Gailey,"",9781250176424,digital,to-read,2023/11/11,"","",0,"",,,,,,,,,"",,"",No
Fuzz: When Nature Breaks the Law,Mary Roach,"",9781324001935,hardcover,to-read,2022/04/21,"","",0,"",,,,,,,,,"",,"",No
The Death of Expertise: The Campaign Against Established Knowledge and Why It Matters,Tom Nichols,"",9780190469412,hardcover,to-read,2020/09/23,"","",0,"",,,,,,,,,"",,"",No
Blind Man's Bluff: The Untold Story of American Submarine Espionage,"Sherry Sontag, Annette Lawrence Drew, Christopher Drew","",9780060977719,paperback,read,2023/11/24,"","",1,"",,,,,,,,,"",,"",No
Trosečníci z Vlaštovky,Arthur Ransome,"Jan Cerny (Illustrator), Zora Wolfová (Translator), Soňa Nová (Translator)",9780879235727,hardcover,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
Alexander Hamilton,Ron Chernow,"",B0BPCLMCPP,digital,read,2019/03/24,"","",1,"",,,,,,,3.0,,"",,"",No
Ink and Bone,Rachel Caine,"",9780698180819,digital,to-read,2024/01/12,"","",0,"",,,,,,,,,"",,"",No
Sharpe's Eagle,Bernard Cornwell,"",9780451212573,paperback,read,2016/04/04,"","",1,"",,,,,,,1.0,,"",,"",No
The Heaven & Earth Grocery Store,James McBride,"",9780593422946,hardcover,read,2023/12/05,"","",1,"",,,,,,,,,"",,"",No
Prussian Blue,Philip Kerr,"",9780399177057,hardcover,to-read,2017/03/30,"","",0,"",,,,,,,,,"",,"",No
Black Powder War,Naomi Novik,"",9780345481306,paperback,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
Sunsets and Olives: How NOT to retire early in Southern Spain!,"John Austin Richards, John Austin Richards","",,,to-read,2021/06/19,"","",0,"",,,,,,,,,"",,"",No
The Song of the Dodo: Island Biogeography in an Age of Extinctions,David Quammen,"",9780684827124,paperback,read,2018/09/30,"","",1,"",,,,,,,,,"",,"",No
The King's Coat,Dewey Lambdin,"",9781590137567,paperback,read,2016/04/04,"","",1,"",,,,,,,1.0,,"",,"",No
Manhattan Beach,Jennifer Egan,"",9781476716732,hardcover,read,2017/10/26,"","",1,"",,,,,,,,,"",,"",No
Barcelona,Robert Hughes,"",9780679743835,paperback,read,2020/01/28,"","",1,"",,,,,,,,,"",,"",No
"Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness",Peter Godfrey-Smith,"",9780374227760,hardcover,to-read,2020/04/20,"","",0,"",,,,,,,,,"",,"",No
Blood Grove,Walter Mosley,"",9780316491181,hardcover,currently-reading,2025/12/12,"","",0,"",,,,,,,,,"",,"",No
America the Beautiful?: One Woman in a Borrowed Prius on the Road Most Traveled,Blythe Roberson,"",9780063115514,paperback,to-read,2023/09/16,"","",0,"",,,,,,,,,"",,"",No
The Poisonwood Bible,Barbara Kingsolver,"",9780060786502,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
Tongues of Serpents,Naomi Novik,"",9780345496898,hardcover,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
An American Tragedy,Theodore Dreiser,Richard R. Lingeman,9780451527707,paperback,read,2018/09/26,"","",1,"",,,,,,,3.0,,"",,"",No
The Murmur of Bees,Sofía Segovia,Simon Bruni,9781542090490,digital,to-read,2021/06/18,"","",0,"",,,,,,,,,"",,"",No
My Year of Rest and Relaxation,Ottessa Moshfegh,"",9780525522133,paperback,to-read,2020/08/15,"","",0,"",,,,,,,,,"",,"",No
"Harbors and High Seas: An Atlas and Geographical Guide to the Complete Aubrey-Maturin Novels of Patrick O'Brian, Third Edition","John B. Hattendorf, Dean King","",9780805066142,paperback,read,2016/04/04,"","",1,"",,,,,,,1.0,,"",,"",No
Machinehood,S.B. Divya,"",9781982148065,hardcover,to-read,2021/05/04,"","",0,"",,,,,,,,,"",,"",No
Stumbling on Happiness,Daniel Gilbert,"",9781400077427,paperback,read,2020/01/13,"","",1,"",,,,,,,,,"",,"",No
Shug,Jenny Han,"",9781416909422,hardcover,read,2019/10/20,"","",1,"",,,,,,,1.0,,"",,"",No
"Winter War: Hoover, Roosevelt, and the First Clash Over the New Deal",Eric Rauchway,"",9780465094585,hardcover,to-read,2019/03/24,"","",0,"",,,,,,,,,"",,"",No
The Only Street in Paris: Life on the Rue Des Martyrs,Elaine Sciolino,"",9780393353402,paperback,read,2022/06/01,"","",1,"",,,,,,,,,"",,"",No
Rough Sleepers: Dr. Jim O'Connell's Urgent Mission to Bring Healing to Homeless People,Tracy Kidder,"",9781984801432,hardcover,read,2024/03/30,"","",1,"",,,,,,,,,"",,"",No
"No Picnic on Mount Kenya: A Daring Escape, A Perilous Climb",Felice Benuzzi,"",9781558218765,paperback,read,2018/12/22,"","",1,"",,,,,,,,,"",,"",No
"Lean in: Women, Work, and the Will to Lead",Sheryl Sandberg,"",9780385349949,hardcover,read,2016/02/29,"","",1,"",,,,,,,3.0,,"",,"",No
When You Are Engulfed in Flames,David Sedaris,"",9780316143479,hardcover,read,2025/12/12,"","",1,"",,,,,,,,,"",,"",No
The Eagle of the Ninth,Rosemary Sutcliff,"",9780192750457,paperback,read,2016/02/29,"","",1,"",,,,,,,3.0,,"",,"",No
Great Northern? A Scottish Adventure of Swallows & Amazons,Arthur Ransome,"",9781567922592,paperback,read,2016/02/29,"","",1,"",,,,,,,3.0,,"",,"",No
Bill Bryson's African Diary,Bill Bryson,"",9780767915069,hardcover,read,2016/02/29,"","",1,"",,,,,,,,,"",,"",No
The Truelove,Patrick O'Brian,"",9780393310160,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
The Covenant of Water,Abraham Verghese,"Arjaan van Nimwegen (Translator), Thijs van Nimwegen (Translator)",9780802162175,hardcover,read,2023/05/27,"","",1,"",,,,,,,,,"",,"",No
The Commodore,Patrick O'Brian,"",9780393314595,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
Transcription,Kate Atkinson,"",9780316176668,paperback,read,2019/03/23,"","",1,"",,,,,,,2.0,,"",,"",No
The Grace of Kings,Ken Liu,"",9781481424271,hardcover,read,2016/10/06,"","",1,"",,,,,,,,,"",,"",No
Night Soldiers,Alan Furst,"",9780375760006,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
Sex and Vanity,Kevin Kwan,"",9781786332271,hardcover,to-read,2020/05/27,"","",0,"",,,,,,,,,"",,"",No
High Output Management,Andrew S. Grove,"",9780679762881,paperback,to-read,2020/09/21,"","",0,"",,,,,,,,,"",,"",No
James Herriot's Cat Stories,James Herriot,Lesley Holmes (Illustrator),9781567315158,hardcover,to-read,2017/10/08,"","",0,"",,,,,,,,,"",,"",No
Dress Your Family in Corduroy and Denim,David Sedaris,"",9780965904834,paperback,read,2025/12/12,"","",1,"",,,,,,,,,"",,"",No
Bridge of Clay,Markus Zusak,"",9780385614290,hardcover,read,2018/09/26,"","",1,"",,,,,,,2.0,,"",,"",No
Mr. Midshipman Easy,Captain Frederick Marryat,"",9781404353879,paperback,read,2016/04/04,"","",1,"",,,,,,,4.0,,"",,"",No
The Fifth Risk,Michael Lewis,"",9780393357455,paperback,to-read,2019/12/07,"","",0,"",,,,,,,,,"",,"",No
